articleId,POS group/Cashier,articleName,returnCount,returnedQuantity,returnedAmount,reason,Total due amount
SM0015,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Cheese Snacks,1.0,1.0,0.54,No reason,0.54
IKA011,SmartStoreWalldorf SmartStoreWalldorf / smart,KAFFEREP - Oat biscuits,1.0,1.0,1.99,No reason,1.99
IKA018,SmartStoreWalldorf SmartStoreWalldorf / smart,FAZER - Milk chocolate tablet,1.0,1.0,2.49,No reason,2.49
SM0018,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Joynuts Caramel Coffee,1.0,1.0,2.96,No reason,2.96
SM0016,SmartStoreWalldorf SmartStoreWalldorf / smart,TOPVALU Chocoka Plain,1.0,2.0,3.19,No reason,3.19
IKA003,SmartStoreWalldorf SmartStoreWalldorf / smart,DRYCK BLÅBÄR - Blueberry syrup,1.0,1.0,3.49,No reason,3.49
